Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Cleveland Cavaliers*,82,241.2,33.8,78.6,0.431,5.9,17.6,0.333,28,60.9,0.459,17.8,23.1,0.77,10.7,28.2,38.9,19.1,6.3,4.1,13.9,20.3,91.4
2,San Antonio Spurs*,82,242.7,36.3,80.1,0.453,5.5,14.4,0.379,30.8,65.7,0.469,15.3,19.9,0.769,9.1,31.3,40.4,18.1,6.5,4.3,11.7,18.4,93.3
3,Boston Celtics*,82,242.4,33.7,78.3,0.431,6.2,17.7,0.349,27.5,60.6,0.454,19.8,25.7,0.771,10.2,27.4,37.6,18.9,7.1,4.7,14.6,22.2,93.4
4,Portland Trail Blazers*,82,241.8,35.4,76.9,0.46,5.9,15.9,0.374,29.4,61,0.482,17.4,21.7,0.803,9.6,26.7,36.3,19.4,6.3,3.9,13.2,21.1,94.1
5,New Orleans Hornets*,82,240.9,34.8,77.2,0.45,7,19.8,0.354,27.8,57.4,0.484,17.7,22.9,0.773,10,30,40,20.1,5.8,3.5,13.3,20.4,94.3
6,Orlando Magic*,82,240.6,35.8,82.7,0.433,5.4,15.8,0.342,30.4,66.9,0.454,17.3,23,0.755,10.5,31.6,42.1,18.1,6.9,3.8,13.1,22.4,94.4
7,Houston Rockets*,82,241.5,36.5,82.1,0.444,5.7,15.8,0.357,30.8,66.3,0.465,15.8,21.1,0.749,10.6,29.3,39.9,19.8,7.2,5.3,12.3,20.6,94.4
8,Detroit Pistons*,82,242.7,35.1,77.8,0.451,5.3,15,0.354,29.8,62.8,0.474,19.3,24.9,0.775,10.5,29.9,40.4,20.1,5.6,4.2,11.8,19.7,94.7
9,Charlotte Bobcats,82,243,35.2,77.4,0.454,6.8,18.6,0.366,28.4,58.8,0.482,17.8,23.5,0.756,10.7,28.2,38.9,19.6,7.6,6,14.7,20.9,94.9
10,Atlanta Hawks*,82,240.3,36.6,80.6,0.454,6.4,18.2,0.353,30.2,62.4,0.484,16.9,22,0.769,11.6,30.3,41.9,20.8,6.5,4.3,13.7,20.5,96.5
11,Philadelphia 76ers*,82,240.9,36.5,79.1,0.462,7.1,19.5,0.367,29.4,59.7,0.493,17.1,21.9,0.782,11.4,27.9,39.3,21.9,7,4.9,15.6,21.8,97.3
12,Miami Heat*,82,243.4,35.6,78.2,0.455,7.2,18.5,0.389,28.4,59.7,0.476,19.6,25.4,0.771,10.9,30.9,41.9,20.1,6.4,4.1,15.2,19.9,98
13,Los Angeles Lakers*,82,241.2,37.2,83.2,0.447,7.1,20.7,0.345,30,62.5,0.481,17.7,23.5,0.753,11.7,29.8,41.5,22.6,7.7,4.8,15.5,22.1,99.3
14,Memphis Grizzlies,82,241.5,36.8,77.8,0.473,6.5,18.4,0.355,30.3,59.4,0.51,19.2,24.9,0.77,10.3,29.6,39.9,21.2,7.7,5.4,14.6,21.8,99.3
15,Dallas Mavericks*,82,241.5,37.5,82.3,0.455,6.3,16.8,0.375,31.1,65.5,0.475,18.6,23.3,0.798,10.8,30.6,41.4,19.6,7.2,4.1,13,20.1,99.8
16,Milwaukee Bucks,82,241.2,34.8,76,0.458,6.9,18.1,0.378,28,57.9,0.483,23.9,30.2,0.791,10.1,30.8,41,21.1,7.5,4.6,16.5,22.5,100.4
17,New Jersey Nets,82,241.8,36,77.9,0.462,7.3,18.7,0.391,28.7,59.1,0.485,21.2,27.8,0.762,10.6,30.8,41.4,21.9,6.9,4.8,13.5,20.5,100.5
18,Utah Jazz*,82,242.4,36.8,79.4,0.464,6.5,18,0.361,30.3,61.3,0.494,20.8,27.2,0.763,11.1,29.2,40.3,20,8,5.2,16.1,24,100.9
19,Denver Nuggets*,82,240.6,36.2,82.2,0.44,7.3,20,0.366,28.8,62.1,0.464,21.2,27.2,0.782,12.1,29.2,41.2,21.4,7.9,5.5,15.4,23.7,100.9
20,Toronto Raptors,82,241.5,38.7,83.3,0.465,7.7,20.9,0.367,31,62.3,0.498,16.8,21.5,0.784,10.9,31,41.9,23,6.4,4.7,13.3,20.1,101.9
21,Chicago Bulls*,82,243,38.3,83.7,0.458,5.9,17.1,0.347,32.4,66.6,0.486,19.9,25.3,0.786,12.4,30.4,42.8,21,7.6,5.5,14.4,20.8,102.5
22,Minnesota Timberwolves,82,241.5,37.9,80,0.474,6.5,17.3,0.377,31.4,62.7,0.5,20.3,26.2,0.778,9.9,31,40.9,21.5,7.4,5.9,12.5,20,102.7
23,Oklahoma City Thunder,82,241.5,39.4,82.9,0.475,6.4,17.5,0.364,33,65.4,0.505,17.9,23.5,0.761,10.8,30.4,41.2,21.6,8.5,5,13.9,20.2,103.1
24,Washington Wizards,82,240.3,38.6,80.1,0.482,8.2,21.2,0.387,30.4,58.8,0.516,18.1,23.9,0.759,11.4,30.4,41.8,24.6,7.2,5.3,13.9,20,103.5
25,Los Angeles Clippers,82,242.4,39.2,83,0.473,6.5,17.5,0.375,32.7,65.5,0.499,18.9,24.8,0.76,11.7,32.4,44.1,23.8,8,5,13.3,19.6,103.9
26,Indiana Pacers,82,241.8,38.3,83.7,0.458,6.9,18.5,0.375,31.4,65.2,0.481,22.6,29.6,0.764,11.1,33,44.1,21.1,7.7,5.4,14,20.6,106.2
27,Phoenix Suns,82,240.9,40,85.7,0.467,7.6,19.9,0.383,32.3,65.7,0.492,19.9,25.7,0.775,12.1,28.7,40.8,21.2,8.6,4.5,14.2,22.9,107.5
28,New York Knicks,82,241.5,41.2,85.9,0.48,7,19.8,0.351,34.2,66,0.518,18.5,24.4,0.758,11.6,34.5,46.1,21.6,8,5.3,14.5,19.4,107.8
29,Sacramento Kings,82,242.7,40,82.8,0.483,7.1,17.4,0.406,32.9,65.4,0.504,22.2,29.4,0.756,12.4,31.6,44,21.9,8.6,5.2,14.4,21.2,109.3
30,Golden State Warriors,82,242.4,41.5,88.7,0.468,7.1,18.7,0.38,34.4,70,0.491,22.3,28.6,0.779,14.2,32.9,47.1,24.1,7.9,5,15,23.5,112.3
,,,,,,,,,,,,,,,,,,,,,,,,